id,height,latitude,longitude,name,Bundesland
2667,92,50.8646,7.1575,Kˆln-Bonn,Nordrhein-Westfalen
2680,289,50.284,10.4456,"Kˆnigshofen,",Bad
2700,416,48.8302,11.4872,Kˆsching,Bayern
2703,496,51.855,9.3239,Kˆterberg,Nordrhein-Westfalen
2704,76,51.7511,12.0094,Kˆthen,(Anhalt)
2708,742,47.6652,11.0805,"Kohlgrub,",Bad
2712,428,47.6952,9.1307,Konstanz,Baden-W¸rttemberg
2750,310,50.2524,11.3209,Kronach,Bayern
2773,415,49.4283,11.9016,K¸mmersbruck,Bayern
2794,40,52.9362,12.4093,Kyritz,Brandenburg
2796,41,53.9156,12.279,Laage,(Flugplatz)
2798,32,51.6,6.15,Laarbruch,Nordrhein-Westfalen
2812,156,48.3647,7.828,Lahr,Baden-W¸rttemberg
2814,687,48.5122,9.7644,Merklingen,Baden-W¸rttemberg
2829,621,48.0772,10.9144,Landsberg,(Flugplatz)
2843,125,50.0075,8.6547,Langen,(BZ)
2856,91,51.9173,13.0878,Langenlipsdorf,Brandenburg
2878,117,51.3909,11.8786,"Lauchst‰dt,",Bad
2886,539,48.2175,9.9097,Laupheim,Baden-W¸rttemberg
2905,550,48.1849,10.8507,Lechfeld,Bayern
2907,7,54.7903,8.9514,Leck,Schleswig-Holstein
2925,356,51.3932,10.3123,Leinefelde,Th¸ringen
2928,138,51.3151,12.4462,Leipzig-Holzhausen,Sachsen
2932,131,51.4347,12.2396,Leipzig/Halle,Sachsen
2947,286,51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen
2951,20,53.1007,11.4864,Lenzen/Elbe,Brandenburg
2953,854,47.8597,8.2308,Lenzkirch-Ruhb¸hl,Baden-W¸rttemberg
2961,31,54.4996,10.2737,Leuchtturm,Kiel
2968,43,50.9894,6.9777,Kˆln-Stammheim,Nordrhein-Westfalen
2985,321,50.9383,14.2094,Lichtenhain-Mittelndorf,Sachsen
3015,98,52.2085,14.118,Lindenberg,Brandenburg
3023,22,52.5181,7.3081,Lingen,Niedersachsen
3028,157,51.7854,8.8388,"Lippspringe,",Bad
