,Objekt_id,Objekt,Phasen_id,Phase,Phasendefinition,BBCH_Code,Hinweis BBCH,eor,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
100,232,"Frühkartoffel, vorgekeimt                                                       ",10,Bestellung Beginn                       ,die ersten vorgekeimten Kartoffeln werden in den Boden gebracht                                                                                                                                         ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
101,232,"Frühkartoffel, vorgekeimt                                                       ",12,Auflaufen Beginn                        ,etwa 50% der Pflanzen auf dem beobachteten Feld haben die Erdoberfläche vollständig durchbrochen                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
102,232,"Frühkartoffel, vorgekeimt                                                       ",13,Bestand geschlossen                     ,etwa 50% der Pflanzen auf dem beobachteten Feld berühren sich reihenübergreifend                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
103,232,"Frühkartoffel, vorgekeimt                                                       ",24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
104,233,"Frühkartoffel, nicht vorgekeimt                                                 ",5,Blüte Beginn                            ,die ersten Blüten auf dem beobachteten Feld haben sich geöffnet                                                                                                                                         ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
105,233,"Frühkartoffel, nicht vorgekeimt                                                 ",10,Bestellung Beginn                       ,die ersten nicht vorgekeimten Kartoffeln werden in den Boden gebracht                                                                                                                                   ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
106,233,"Frühkartoffel, nicht vorgekeimt                                                 ",12,Auflaufen Beginn                        ,etwa 50% der Pflanzen auf dem beobachteten Feld haben die Erdoberfläche vollständig durchbrochen                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
107,233,"Frühkartoffel, nicht vorgekeimt                                                 ",13,Bestand geschlossen                     ,etwa 50% der Pflanzen auf dem beobachteten Feld berühren sich reihenübergreifend                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
108,233,"Frühkartoffel, nicht vorgekeimt                                                 ",24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
109,234,Spätkartoffel                                                                   ,5,Blüte Beginn                            ,die ersten Blüten auf dem beobachteten Feld haben sich geöffnet                                                                                                                                         ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
110,234,Spätkartoffel                                                                   ,10,Bestellung Beginn                       ,die ersten Spätkartoffeln werden in den Boden gebracht                                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
111,234,Spätkartoffel                                                                   ,12,Auflaufen Beginn                        ,etwa 50% der Pflanzen auf dem beobachteten Feld haben die Erdoberfläche vollständig durchbrochen                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
112,234,Spätkartoffel                                                                   ,13,Bestand geschlossen                     ,etwa 50% der Pflanzen auf dem beobachteten Feld berühren sich reihenübergreifend                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
113,234,Spätkartoffel                                                                   ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
114,241,Grünpflück-Bohne                                                                ,5,Blüte Beginn                            ,im Bestand haben sich die ersten Blüten geöffnet                                                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
115,241,Grünpflück-Bohne                                                                ,10,Bestellung Beginn                       ,Saatgut wird gelegt                                                                                                                                                                                     ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
116,241,Grünpflück-Bohne                                                                ,12,Auflaufen Beginn                        ,"die jungen Pflänzchen haben sich etwa 1cm über die Erdoberfläche erhoben, so dass die Pflanzenreihen erkennbar sind                                                                                     ",              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
117,241,Grünpflück-Bohne                                                                ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
118,242,Grünpflück-Erbse                                                                ,5,Blüte Beginn                            ,im Bestand haben sich die ersten Blüten geöffnet                                                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
119,242,Grünpflück-Erbse                                                                ,10,Bestellung Beginn                       ,Saatgut wird gelegt                                                                                                                                                                                     ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
120,242,Grünpflück-Erbse                                                                ,12,Auflaufen Beginn                        ,"die jungen Pflänzchen haben sich etwa 1cm über die Erdoberfläche erhoben, so dass die Pflanzenreihen erkennbar sind                                                                                     ",              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
121,242,Grünpflück-Erbse                                                                ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
122,243,Tomate                                                                          ,5,Blüte Beginn                            ,im Bestand haben sich die ersten Blüten geöffnet                                                                                                                                                        ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
123,243,Tomate                                                                          ,11,Pflanzen Beginn                         ,die Tomatensetzlinge werden ausgepflanzt                                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
124,243,Tomate                                                                          ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
125,244,Weißkohl                                                                        ,11,Pflanzen Beginn                         ,die Weißkohlsetzlinge werden ausgepflanzt                                                                                                                                                               ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
126,244,Weißkohl                                                                        ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
127,245,Luzerne                                                                         ,25,1. Heuschnitt                           ,im Beobachtungsgebiet wird erstmals Luzerne zur Trockenfuttergewinnung geschnitten                                                                                                                      ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
128,245,Luzerne                                                                         ,27,2. Heuschnitt                           ,im Beobachtungsgebiet wird zum zweiten Mal in der Vegetationsperiode Luzerne zur Trockenfuttergewinnung geschnitten                                                                                     ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
129,246,Rotklee                                                                         ,25,1. Heuschnitt                           ,im Beobachtungsgebiet wird erstmals Rotklee zur Trockenfuttergewinnung geschnitten                                                                                                                      ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
130,246,Rotklee                                                                         ,27,2. Heuschnitt                           ,im Beobachtungsgebiet wird zum zweiten Mal in der Vegetationsperiode Rotklee zur Trockenfuttergewinnung geschnitten                                                                                     ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
131,250,Sorte unbekannt (Rübe)                                                          ,10,Bestellung Beginn                       ,im Beobachtungsgebiet wird das erste Feld mit einer unbekannten Rübensorte bestellt                                                                                                                     ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
132,250,Sorte unbekannt (Rübe)                                                          ,12,Auflaufen Beginn                        ,die Keimblätter haben den Erdboden durchbrochen und die Pflanzen haben eine Höhe von ca. 1 cm erreicht                                                                                                  ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
133,250,Sorte unbekannt (Rübe)                                                          ,13,Bestand geschlossen                     ,etwa die Hälfte der Rübenpflanzen berühren sich mit ihren Blättern von Reihe zu Reihe                                                                                                                   ,            35,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
134,250,Sorte unbekannt (Rübe)                                                          ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
135,252,Futter-Rübe                                                                     ,10,Bestellung Beginn                       ,im Beobachtungsgebiet wird das erste Feld mit Futter-Rüben bestellt                                                                                                                                     ,             0,unechtephänologische Phase                                                                                                                                    ,eor,                                                                                                                                                                                                                                                                                 
136,252,Futter-Rübe                                                                     ,12,Auflaufen Beginn                        ,die Keimblätter haben den Erdboden durchbrochen und die Pflanzen haben eine Höhe von ca. 1 cm erreicht                                                                                                  ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
137,252,Futter-Rübe                                                                     ,13,Bestand geschlossen                     ,etwa die Hälfte der Rübenpflanzen berühren sich mit ihren Blättern von Reihe zu Reihe                                                                                                                   ,            35,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
138,252,Futter-Rübe                                                                     ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
139,253,Zucker-Rübe                                                                     ,10,Bestellung Beginn                       ,im Beobachtungsgebiet wird das erste Feld mit Zucker-Rüben bestellt                                                                                                                                     ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
140,253,Zucker-Rübe                                                                     ,12,Auflaufen Beginn                        ,die Keimblätter haben den Erdboden durchbrochen und die Pflanzen haben eine Höhe von ca. 1 cm erreicht                                                                                                  ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
141,253,Zucker-Rübe                                                                     ,13,Bestand geschlossen                     ,etwa die Hälfte der Rübenpflanzen berühren sich mit ihren Blättern von Reihe zu Reihe                                                                                                                   ,            35,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
142,253,Zucker-Rübe                                                                     ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
